EN SOURCE (canonical, in use)	ORIGIN	INTERIM DE (replace with approved copy)	INTERIM TH (replace)	INTERIM JA (replace)
day by day.	static page source	Tag für Tag.	ในแต่ละวัน	日ごとに。
Departure	dynamic renderer	Abreise	การเดินทางกลับ	ご出発
Departure coordination within the wedding programme	dynamic renderer	Abreisekoordination im Rahmen des Hochzeitsprogramms	การประสานงานเดินทางกลับภายในกำหนดการงานแต่ง	式次第内での出発の調整
Departure follows your actual onward itinerary — until then it stays with Guest Relations.	dynamic renderer	Die Abreise folgt eurer tatsächlichen Weiterreise — bis dahin liegt sie bei Guest Relations.	การเดินทางกลับเป็นไปตามแผนต่อของคุณ ระหว่างนี้ฝ่ายดูแลแขกดูแลให้	ご出発はその後のご旅程に合わせます。それまではゲストリレーションズにお任せください。
Departure services	dynamic renderer	Abreise-Services	บริการขากลับ	出発時のサービス
Detailed travel timings and booking guidance will follow. Please wait for our green light before booking.	static page source	Genaue Reisezeiten und Buchungshinweise folgen. Bitte wartet auf unser grünes Licht, bevor ihr bucht.	เวลาเดินทางโดยละเอียดและคำแนะนำการจองจะตามมา โปรดรอสัญญาณจากเราก่อนจอง	詳しい時刻とご予約のご案内は追ってお送りします。合図をお待ちください。
Dietary needs and allergies stay individual and reach only the kitchens that cook for you.	static page source	Ernährungswünsche und Allergien bleiben individuell und erreichen nur die Küchen, die für euch kochen.	ความต้องการด้านอาหารและภูมิแพ้เป็นเรื่องเฉพาะบุคคล และส่งถึงเฉพาะครัวที่ปรุงให้คุณเท่านั้น	お食事のご希望とアレルギーは個別に扱われ、あなたのために調理する厨房にのみ届きます。
Dietary preference	dynamic renderer	Ernährungsweise	รูปแบบอาหาร	食事のご希望
Dining table	static page source	Esstisch	โต๊ะอาหาร	ダイニングテーブル
dinner.	static page source	Dinner.	งานเลี้ยง	ディナー。
Downtown Vientiane · 300 m to the Mekong Night Market · 800 m to Wat Sisaket	static page source	Zentrum von Vientiane · 300 m zum Mekong-Nachtmarkt · 800 m zum Wat Sisaket	ใจกลางเวียงจันทน์ · 300 ม. ถึงตลาดกลางคืนริมโขง · 800 ม. ถึงวัดสีสะเกด	ビエンチャン中心部・メコンナイトマーケットまで300m・ワット・シーサケットまで800m
Dress · Black Tie	static page source	Dress · Black Tie	การแต่งกาย · แบล็กไท	ドレスコード・ブラックタイ
Dress · Elegant Resort Wear	static page source	Dress · Elegante Resort-Garderobe	การแต่งกาย · ชุดรีสอร์ตหรู	ドレスコード・エレガント・リゾートウェア
Dress · Lao Traditional Dress	static page source	Dress · Traditionelle laotische Kleidung	การแต่งกาย · ชุดลาวประเพณี	ドレスコード・ラオス伝統衣装
Dress code	dynamic renderer	Dresscode	การแต่งกาย	ドレスコード
Dress code not yet confirmed — please confirm under My Wedding	dynamic renderer	Dresscode noch nicht bestätigt — bitte unter „Meine Hochzeit“ bestätigen	ยังไม่ได้ยืนยันการแต่งกาย โปรดยืนยันที่ งานแต่งของฉัน	ドレスコード未確認——「ウェディング」でご確認ください
Dress code understood	dynamic renderer	Dresscode verstanden	เข้าใจการแต่งกายแล้ว	ドレスコード確認済み
Dress on arrival · Elegant Resort Wear	static page source	Dress bei Ankunft · Elegante Resort-Garderobe	การแต่งกายเมื่อมาถึง · ชุดรีสอร์ตหรู	ご到着時の装い・エレガント・リゾートウェア
dry season	static page source	Trockenzeit	ฤดูแล้ง	乾季
Each of you	static page source	Jede und jeder von euch	ทุกคนในกลุ่ม	お一人おひとり
Each of You	dynamic renderer	Jede und jeder von euch	ทุกคนในกลุ่มของคุณ	お一人おひとり
Edit	dynamic renderer	Bearbeiten	แก้ไข	編集
Elegant Resort Wear	static page source	Elegante Resort-Garderobe	ชุดรีสอร์ตหรู	エレガント・リゾートウェア
Email	dynamic renderer	E-Mail	อีเมล	メールアドレス
Enjoy the ride	static page source	Genießt die Reise	เพลิดเพลินกับการเดินทาง	旅をお楽しみに
Enter the private invitation code from your invitation letter — or simply open the personal link we sent you.	static page source	Gebt den privaten Einladungscode aus eurem Einladungsbrief ein — oder öffnet einfach den persönlichen Link, den wir euch geschickt haben.	กรอกรหัสบัตรเชิญส่วนตัวจากจดหมายเชิญ หรือเพียงเปิดลิงก์ส่วนตัวที่เราส่งให้คุณ	招待状に記載のプライベートコードをご入力ください——お送りした個人リンクを開くだけでも結構です。
Entry requirements depend on your passport; Guest Relations will share the relevant guidance with you before travel, and our team meets you at immigration. Currency · Lao Kip (LAK).	static page source	Die Einreisebestimmungen hängen von eurem Pass ab; Guest Relations teilt euch vor der Reise die passenden Hinweise mit, und unser Team empfängt euch an der Einreise. Währung · Lao Kip (LAK).	ข้อกำหนดการเข้าเมืองขึ้นกับหนังสือเดินทางของคุณ ฝ่ายดูแลแขกจะแจ้งแนวทางก่อนเดินทาง และทีมของเรารอรับที่ด่านตรวจคนเข้าเมือง สกุลเงิน · กีบลาว (LAK)	入国要件はパスポートにより異なります。ご出発前にゲストリレーションズがご案内し、入国審査では私たちのチームがお迎えします。通貨・ラオスキープ（LAK）。
Evening	static page source	Abend	ยามเย็น	夜
Evening gown or elegant cocktail length formal	static page source	Abendkleid oder elegantes knielanges Formal	ชุดราตรียาวหรือเดรสค็อกเทลสุดหรู	イブニングドレス、または上品なカクテル丈のフォーマル
Every REQUESTED selection above — seats, rooms, transfers and the wedding days — is now personally coordinated by Khun Ket and Khun Paddy. Statuses move from REQUESTED to UNDER REVIEW to CONFIRMED; nothing is booked until Guest Relations confirms it with you.	dynamic renderer	Jede oben ANGEFRAGTE Auswahl — Plätze, Zimmer, Transfers und die Hochzeitstage — wird jetzt persönlich von Khun Ket und Khun Paddy koordiniert. Der Status wandert von ANGEFRAGT über IN PRÜFUNG zu BESTÄTIGT; nichts ist gebucht, bis Guest Relations es mit euch bestätigt.	ทุกรายการที่ส่งคำขอด้านบน ทั้งที่นั่ง ห้องพัก การรับส่ง และวันงานแต่ง คุณเกตุและคุณแพดดี้จะประสานงานด้วยตนเอง สถานะจะเปลี่ยนจาก ส่งคำขอแล้ว เป็น กำลังตรวจสอบ และ ยืนยันแล้ว จะยังไม่มีการจองจนกว่าฝ่ายดูแลแขกยืนยันกับคุณ	上記のリクエスト——お席、お部屋、送迎、婚礼の日々——は、クン・ケットとクン・パディが直接調整します。ステータスはリクエスト済み→確認中→確定と進み、ゲストリレーションズの確定までは予約は成立しません。
Everything here has been prepared around you: the journey, the wedding days in Vientiane, your stay, and the small comforts in between. A few quiet questions, and Guest Relations takes it from there.	static page source	Alles hier ist um euch herum vorbereitet: die Reise, die Hochzeitstage in Vientiane, euer Aufenthalt und die kleinen Annehmlichkeiten dazwischen. Ein paar ruhige Fragen — den Rest übernimmt Guest Relations.	ทุกอย่างที่นี่ถูกเตรียมไว้รอบตัวคุณ การเดินทาง วันงานในเวียงจันทน์ ที่พัก และความสะดวกเล็ก ๆ ระหว่างทาง เพียงตอบคำถามเบา ๆ ไม่กี่ข้อ ที่เหลือฝ่ายดูแลแขกจัดการให้	ここにあるすべては、あなたを中心に準備されています。旅、ビエンチャンでの婚礼の日々、滞在、その合間の小さな心地よさ。静かな質問にいくつか答えるだけで、あとはゲストリレーションズにお任せを。
Everything is in place. Review your journey and send it to Guest Relations.	dynamic renderer	Alles ist bereit. Prüft eure Reise und sendet sie an Guest Relations.	ทุกอย่างพร้อมแล้ว ตรวจทานการเดินทางของคุณและส่งให้ฝ่ายดูแลแขก	すべて整いました。旅程を確認し、ゲストリレーションズへお送りください。
Exactly what should the kitchens know?	dynamic renderer	Was genau sollen die Küchen wissen?	ครัวควรทราบอะไรบ้าง?	厨房に伝えるべき内容をご記入ください
Explore the journey	static page source	Die Reise entdecken	สำรวจการเดินทาง	旅を見てみる
Extend your journey	static page source	Verlängert eure Reise	ต่อการเดินทางของคุณ	旅を延ばして
Find my invitation	static page source	Meine Einladung finden	ค้นหาบัตรเชิญของฉัน	招待状を探す
find you.	static page source	finden euch.	จะไปหาคุณเอง	あなたの元へ。
Find your invitation	static page source	Findet eure Einladung	ค้นหาบัตรเชิญของคุณ	招待状を見つける
First night · guest contribution	static page source	Erste Nacht · Gastbeitrag	คืนแรก · ส่วนร่วมของแขก	1泊目・ゲストのご負担
First night · your contribution — second night · hosted	dynamic renderer	Erste Nacht · euer Beitrag — zweite Nacht · übernommen	คืนแรก · ส่วนร่วมของคุณ — คืนที่สอง · เจ้าภาพดูแล	1泊目・ご負担 — 2泊目・ご招待
Floor length gown or refined formal dress	static page source	Bodenlanges Kleid oder edles formelles Kleid	ชุดราตรียาวถึงพื้นหรือชุดฟอร์มัลประณีต	床までのガウン、または洗練されたフォーマルドレス
Flowing dresses, elegant separates, sandals	static page source	Fließende Kleider, elegante Kombinationen, Sandalen	เดรสพลิ้ว เซ็ตหรู รองเท้าแตะสวย	流れるようなドレス、上品なセパレート、サンダル
Fly or travel on your own schedule; we meet you there	dynamic renderer	Fliegt oder reist nach eurem eigenen Plan; wir empfangen euch dort	บินหรือเดินทางตามแผนของคุณเอง แล้วพบกันที่นั่น	ご自身の予定で移動を。現地でお迎えします
Fly or travel on your own schedule; we meet you there.	dynamic renderer	Fliegt oder reist nach eurem eigenen Plan; wir empfangen euch dort.	บินหรือเดินทางตามแผนของคุณเอง แล้วพบกันที่นั่น	ご自身の予定で移動を。現地でお迎えします。
Follows your onward itinerary	dynamic renderer	Folgt eurer Weiterreise	เป็นไปตามแผนการเดินทางต่อของคุณ	その後のご旅程に合わせます
Food, dietary & allergies	dynamic renderer	Essen, Ernährung & Allergien	อาหาร โภชนาการ และภูมิแพ้	お食事・アレルギー
Footwear	static page source	Schuhe	รองเท้า	履物
For guests continuing the journey: 1 March Vientiane to Kunming · 4 March Kunming to Lijiang · 6 March Lijiang to Bangkok	static page source	Für Gäste, die weiterreisen: 1. März Vientiane–Kunming · 4. März Kunming–Lijiang · 6. März Lijiang–Bangkok	สำหรับแขกที่เดินทางต่อ 1 มี.ค. เวียงจันทน์–คุนหมิง · 4 มี.ค. คุนหมิง–ลี่เจียง · 6 มี.ค. ลี่เจียง–กรุงเทพฯ	旅を続ける方へ：3月1日ビエンチャン→昆明・3月4日昆明→麗江・3月6日麗江→バンコク
For rooms at Souphattra Heritage Vientiane, the amount shown is your total contribution per guest for the confirmed two-night stay: the first night is your guest contribution; the second night is hosted by	dynamic renderer	Für Zimmer im Souphattra Heritage Vientiane ist der angezeigte Betrag euer Gesamtbeitrag pro Gast für den bestätigten Aufenthalt von zwei Nächten: Die erste Nacht ist euer Gastbeitrag; die zweite Nacht übernehmen	สำหรับห้องพักที่สุพัตรา เฮอริเทจ เวียงจันทน์ จำนวนที่แสดงคือยอดร่วมสมทบต่อท่านสำหรับการพักสองคืนที่ยืนยันแล้ว คืนแรกคือส่วนร่วมของคุณ ส่วนคืนที่สองเป็นของขวัญจาก	スパッタラ・ヘリテージの客室について、表示額は確定2泊分のお一人あたりのご負担額です。1泊目はゲストのご負担、2泊目はご招待——
For rooms at Souphattra Heritage Vientiane, your contribution covers the first night. The second night is hosted by	static page source	Bei Zimmern im Souphattra Heritage Vientiane deckt euer Beitrag die erste Nacht. Die zweite Nacht übernehmen	สำหรับห้องพักที่สุพัตรา เฮอริเทจ ส่วนร่วมของคุณครอบคลุมคืนแรก คืนที่สองเป็นของขวัญจาก	スパッタラ・ヘリテージの客室は、ご負担は1泊目のみ。2泊目のご招待は——
Four moments, with a dress note for each. Warm days, cooler evenings by the river; every dress note below is tied to its moment of the weekend.	static page source	Vier Momente — mit einer Dress-Notiz zu jedem. Warme Tage, kühlere Abende am Fluss; jede Notiz unten gehört zu ihrem Moment des Wochenendes.	สี่ช่วงเวลา พร้อมคำแนะนำการแต่งกายในแต่ละช่วง กลางวันอบอุ่น ค่ำคืนริมน้ำเย็นลง ทุกคำแนะนำผูกกับช่วงเวลาของมันเอง	四つのひとときに、それぞれの装いのご案内。昼は暖かく、川辺の夜は涼しく——各ノートはその瞬間のためのものです。
Free parking	static page source	Kostenfreies Parken	ที่จอดรถฟรี	無料駐車場
Free time stays unstructured. Here, luxury means the absence of pressure, not the presence of activity.	static page source	Freie Zeit bleibt frei. Luxus heißt hier: Abwesenheit von Druck, nicht Fülle von Programm.	เวลาว่างคือเวลาว่างจริง ๆ ที่นี่ ความหรูหราคือการไม่มีแรงกดดัน ไม่ใช่การมีกิจกรรมมากมาย	自由な時間は、自由なまま。ここでの贅沢とは、予定の多さではなく、追われないことです。
French colonial and Laotian design: a living room under a high ceiling, and a slower kind of morning.	static page source	Französisch-koloniales und laotisches Design: ein Wohnraum unter hoher Decke und ein langsamerer Morgen.	ดีไซน์โคโลเนียลฝรั่งเศสผสานลาว ห้องนั่งเล่นเพดานสูง และเช้าที่ช้าลงอีกนิด	フレンチコロニアルとラオスの意匠。高い天井のリビングと、ゆっくり流れる朝。
French colonial rooms with a balcony over the garden, and the flexibility a family needs.	static page source	Französisch-koloniale Zimmer mit Gartenbalkon und der Flexibilität, die eine Familie braucht.	ห้องสไตล์โคโลเนียลฝรั่งเศสพร้อมระเบียงมองสวน และความยืดหยุ่นที่ครอบครัวต้องการ	庭を望むバルコニーのあるフレンチコロニアルの客室。家族にうれしい柔軟さも。
Friday	static page source	Freitag	วันศุกร์	金曜日
Friday, 26 Feb · 20:25 → 06:45	static page source	Freitag, 26. Feb · 20:25 → 06:45	ศุกร์ 26 ก.พ. · 20:25 → 06:45	2月26日（金）20:25→6:45
From here, everything is in our hands. Khun Ket and Khun Paddy review your travel information, confirm your accommodation, coordinate your transfers and prepare your personal journey. Your private area stays open the whole time; no action is needed from you.	dynamic renderer	Ab hier liegt alles in unseren Händen. Khun Ket und Khun Paddy prüfen eure Reisedaten, bestätigen eure Unterkunft, koordinieren eure Transfers und bereiten eure persönliche Reise vor. Euer privater Bereich bleibt die ganze Zeit offen; ihr müsst nichts weiter tun.	จากนี้ไปทุกอย่างอยู่ในมือเรา คุณเกตุและคุณแพดดี้ตรวจข้อมูลการเดินทาง ยืนยันที่พัก ประสานการรับส่ง และเตรียมการเดินทางส่วนตัวของคุณ พื้นที่ส่วนตัวเปิดอยู่ตลอด คุณไม่ต้องทำอะไรเพิ่ม	ここから先はすべてお任せください。クン・ケットとクン・パディが旅の情報を確認し、宿泊を確定し、送迎を調整し、あなたの旅を整えます。プライベートエリアは常に開いたまま——ご対応は不要です。
From Souphattra Heritage to Vientiane railway station for your onward journey.	dynamic renderer	Vom Souphattra Heritage zum Bahnhof Vientiane für eure Weiterreise.	จากสุพัตรา เฮอริเทจ สู่สถานีรถไฟเวียงจันทน์สำหรับการเดินทางต่อ	スパッタラ・ヘリテージからビエンチャン駅へ、その先の旅のために。
From Souphattra Heritage to Wattay International Airport for your departure.	dynamic renderer	Vom Souphattra Heritage zum Wattay International Airport zur Abreise.	จากสุพัตรา เฮอริเทจ สู่สนามบินวัตไตสำหรับขากลับ	ご出発時、スパッタラ・ヘリテージからワッタイ国際空港へ。
From sunset drinks beside the pool into the courtyard dinner, and late into the night.	static page source	Von Drinks am Pool zum Sonnenuntergang ins Hof-Dinner — und bis tief in die Nacht.	จากเครื่องดื่มริมสระยามเย็น สู่มื้อค่ำในลานสวน และยาวไปจนดึก	夕暮れの乾杯から中庭のディナーへ、そして夜更けまで。
From the moment you land, you're our guest, personally looked after from arrival to the last goodbye.	static page source	Vom Moment der Landung an seid ihr unsere Gäste — persönlich umsorgt von der Ankunft bis zum letzten Abschied.	ตั้งแต่วินาทีที่คุณลงเครื่อง คุณคือแขกของเรา ได้รับการดูแลเป็นการส่วนตัวตั้งแต่มาถึงจนถึงคำอำลา	着陸の瞬間から、あなたは私たちのゲスト。到着から最後のお見送りまで、心を込めておもてなしします。
From Vientiane railway station to Souphattra Heritage, met at your carriage exit.	dynamic renderer	Vom Bahnhof Vientiane zum Souphattra Heritage, Empfang direkt am Waggon.	จากสถานีรถไฟเวียงจันทน์สู่สุพัตรา เฮอริเทจ รอรับหน้าตู้โดยสาร	ビエンチャン駅からスパッタラ・ヘリテージへ。車両出口でお出迎え。
From Wattay International Airport to Souphattra Heritage, met in the arrivals hall.	dynamic renderer	Vom Wattay International Airport zum Souphattra Heritage, Empfang in der Ankunftshalle.	จากสนามบินวัตไตสู่สุพัตรา เฮอริเทจ มีคนรอรับที่โถงผู้โดยสารขาเข้า	ワッタイ国際空港からスパッタラ・ヘリテージへ。到着ロビーでお出迎え。
full timings follow in your Guest Area	static page source	die genauen Zeiten folgen in eurem Gästebereich	เวลาโดยละเอียดจะแจ้งในพื้นที่สำหรับแขก	詳しい時間はゲストエリアでご案内
Fully allocated	dynamic renderer	Vollständig vergeben	เต็มแล้ว	満室
Garden and pool views	static page source	Garten- und Poolblick	วิวสวนและสระ	ガーデン＆プールビュー
Garden setting; a block heel travels better than a stiletto	static page source	Gartensetting; ein Blockabsatz reist besser als ein Stiletto	งานในสวน ส้นหนามั่นคงกว่าส้นเข็ม	会場は庭。ピンヒールよりブロックヒールが安心です
Garden views · interconnecting rooms where available	static page source	Gartenblick · Verbindungszimmer wo verfügbar	วิวสวน · มีห้องเชื่อมถึงกันในบางห้อง	ガーデンビュー・コネクティングルームあり（一部）
Genuinely open arrangements · nothing here is charged	dynamic renderer	Wirklich offene Abstimmungen · nichts davon wird berechnet	รายการที่ยังรอสรุปจริง ๆ · ไม่มีการเรียกเก็บใด ๆ	調整中の項目です。料金は発生しません
Getting there	static page source	Anreise	การเดินทางไป	アクセス
Getting you	dynamic renderer	Ankommen	รับส่งคุณ	行きも帰りも
Gluten free	dynamic renderer	Glutenfrei	ปลอดกลูเตน	グルテンフリー
Good to know.	static page source	Gut zu wissen.	เรื่องน่ารู้	ご案内
Ground	static page source	Erdgeschoss	ชั้นล่าง	1階
Ground floor · central greenery · one suite only	static page source	Erdgeschoss · zentrales Grün · nur eine Suite	ชั้นล่าง · กลางสวนเขียว · มีเพียงห้องเดียว	1階・緑の中心・一室のみ
Guest Area	static page source	Gästebereich	พื้นที่สำหรับแขก	ゲストエリア
Guest Relations	dynamic renderer	Guest Relations	ฝ่ายดูแลแขก	ゲストリレーションズ
Guest Relations confirms	static page source	Guest Relations bestätigt	ฝ่ายดูแลแขกยืนยัน	ゲストリレーションズが確定
Guest Relations is preparing your journey	dynamic renderer	Guest Relations bereitet eure Reise vor	ฝ่ายดูแลแขกกำลังเตรียมการเดินทางของคุณ	ゲストリレーションズが旅を準備中です
Guest Relations support requested	dynamic renderer	Unterstützung durch Guest Relations angefragt	ขอความช่วยเหลือจากฝ่ายดูแลแขกแล้ว	ゲストリレーションズに相談済み
Guest Relations will confirm the arrangement	dynamic renderer	Guest Relations bestätigt die Abstimmung persönlich	ฝ่ายดูแลแขกจะยืนยันการจัดเตรียมให้	ゲストリレーションズが手配を確定します
Guests	static page source	Gäste	ผู้เข้าพัก	定員
Hair dryer	static page source	Föhn	ไดร์เป่าผม	ヘアドライヤー
Haruthai & Suthep continue to Kunming and Lijiang after the wedding. If you would like to join part of the onward journey, we will prepare it with you. You may return to Bangkok with us, continue elsewhere, or make your own plans — every answer is a complete answer.	dynamic renderer	Haruthai & Suthep reisen nach der Hochzeit weiter nach Kunming und Lijiang. Wenn ihr einen Teil der Weiterreise mitgehen möchtet, bereiten wir sie mit euch vor. Ihr könnt mit uns nach Bangkok zurückkehren, anderswo weiterreisen oder eigene Pläne machen — jede Antwort ist eine vollständige Antwort.	หลังงานแต่ง หรุทัยและสุเทพเดินทางต่อไปคุนหมิงและลี่เจียง หากคุณอยากร่วมเส้นทางส่วนใดส่วนหนึ่ง เราจะเตรียมให้พร้อมกับคุณ จะกลับกรุงเทพฯ กับเรา เดินทางต่อที่อื่น หรือวางแผนเอง ทุกคำตอบคือคำตอบที่สมบูรณ์	挙式後、ハルタイとステープは昆明と麗江へ旅を続けます。行程の一部にご一緒くださるなら、共に準備いたします。私たちとバンコクへ戻るのも、別の地へ進むのも、ご自身の計画も——どの答えも、完全な答えです。
here and home.	dynamic renderer	und heimkehren.	ทั้งไปและกลับ	安心して。
Hide details	dynamic renderer	Details schließen	ซ่อนรายละเอียด	詳細を閉じる
High ceiling	static page source	Hohe Decke	เพดานสูง	高天井
High ceilings	static page source	Hohe Decken	เพดานสูง	高い天井
Hosted	dynamic renderer	Übernommen	เจ้าภาพดูแล	ご招待
HOSTED	dynamic renderer	ÜBERNOMMEN	เจ้าภาพดูแล	ご招待
Hosted for you	dynamic renderer	Für euch übernommen	ของขวัญจากเจ้าภาพ	おもてなしとしてご招待
Hot water	static page source	Warmwasser	น้ำอุ่น	温水
Hotel to LCR Station by Jaguar	dynamic renderer	Hotel zum LCR-Bahnhof im Jaguar	จากโรงแรมสู่สถานี LCR ด้วยรถจากัวร์	ジャガーでホテルからLCR駅へ
Hotel to LCR Station by Mercedes-Benz	dynamic renderer	Hotel zum LCR-Bahnhof im Mercedes-Benz	จากโรงแรมสู่สถานี LCR ด้วยเมอร์เซเดส-เบนซ์	メルセデス・ベンツでホテルからLCR駅へ
How do you like your coffee?	dynamic renderer	Wie trinkt ihr euren Kaffee?	คุณชอบกาแฟแบบไหน?	コーヒーはどのように？
How the days unfold.	static page source	Wie die Tage sich entfalten.	แต่ละวันจะเป็นอย่างไร	日々のながれ
How this journey is made	static page source	Wie diese Reise entsteht	การเดินทางนี้ถูกสร้างขึ้นอย่างไร	この旅のつくりかた
How to say yes.	static page source	So sagt ihr zu.	ตอบรับคำเชิญอย่างไร	ご返答の方法
How would you like to travel to Vientiane?	dynamic renderer	Wie möchtet ihr nach Vientiane reisen?	คุณอยากเดินทางไปเวียงจันทน์อย่างไร	ビエンチャンへはどのように向かいますか？
How would you like us to arrange your arrival?	dynamic renderer	Wie dürfen wir eure Ankunft arrangieren?	ให้เราจัดการการมาถึงของคุณอย่างไรดี	ご到着の手配はいかがいたしますか？
I have read and understand the dress code	dynamic renderer	Ich habe den Dresscode gelesen und verstanden	ฉันได้อ่านและเข้าใจข้อกำหนดการแต่งกายแล้ว	ドレスコードを読み、理解しました
I’ll arrange my own onward travel	dynamic renderer	Ich organisiere meine Weiterreise selbst	ฉันจะจัดการเดินทางต่อเอง	自分で手配します
I’ll arrive independently	dynamic renderer	Ich reise eigenständig an	ฉันจะเดินทางมาเอง	自分で向かいます
I’m joining	dynamic renderer	Ich bin dabei	เข้าร่วม	参加します
if you like.	static page source	wenn ihr mögt.	หากคุณต้องการ	お好みで。
in Laos?	static page source	in Laos?	ที่ลาวนะ	会いましょう
Instead of a single evening, we are inviting you into a journey: a few days together in Vientiane and a wedding beside the river in Laos.	static page source	Statt eines einzelnen Abends laden wir euch zu einer Reise ein: ein paar gemeinsame Tage in Vientiane und eine Hochzeit am Fluss in Laos.	แทนที่จะเป็นค่ำคืนเดียว เราขอเชิญคุณสู่การเดินทาง ไม่กี่วันด้วยกันในเวียงจันทน์ และงานแต่งริมแม่น้ำในลาว	たった一夜ではなく、旅へのご招待。ビエンチャンで共に過ごす数日と、ラオスの川辺での結婚式を。
Invitation	dynamic renderer	Einladung	บัตรเชิญ	招待状
Invitation code	static page source	Einladungscode	รหัสบัตรเชิญ	招待コード
is where you open your invitation, find the people you travel with and register your journey. After Guest Relations confirms you, your personal details continue there.	static page source	ist der Ort, an dem ihr eure Einladung öffnet, eure Mitreisenden findet und eure Reise registriert. Nach der Bestätigung durch Guest Relations geht es dort mit euren persönlichen Details weiter.	คือที่ที่คุณเปิดบัตรเชิญ พบผู้ร่วมเดินทาง และลงทะเบียนการเดินทาง หลังฝ่ายดูแลแขกยืนยัน รายละเอียดส่วนตัวของคุณจะดำเนินต่อที่นั่น	では招待状を開き、ご一緒する方々を確認し、旅を登録します。確定後は、あなたの詳細もそこで続きます。
Ivory, sand, soft botanicals	static page source	Ivory, Sand, sanfte Botanicals	งาช้าง ทราย ลายพฤกษาอ่อน	アイボリー、サンド、やさしいボタニカル
join the journey	static page source	Teil der Reise werden	ร่วมเดินทางไปกับเรา	旅に参加する
Join the Journey	static page source	Teil der Reise werden	ร่วมเดินทางกับเรา	旅に参加する
Join the journey.	static page source	Werdet Teil der Reise.	ร่วมเดินทางไปด้วยกัน	旅にご参加ください。
Join the moments that feel right for you. We simply want you there in the way that works best for you.	static page source	Seid bei den Momenten dabei, die sich für euch richtig anfühlen. Wir wünschen uns euch einfach so dabei, wie es für euch am besten passt.	ร่วมเฉพาะช่วงเวลาที่ใช่สำหรับคุณ เราแค่อยากให้คุณอยู่ตรงนั้นในแบบที่เหมาะกับคุณที่สุด	心地よいと感じる時間にご参加ください。あなたに合ったかたちで、そこにいてくださることが何よりの願いです。
Join the waitlist	dynamic renderer	Auf die Warteliste	เข้ารายชื่อรอ	キャンセル待ちに登録
Join under My Travel	dynamic renderer	Unter „Meine Anreise“ beitreten	เข้าร่วมได้ที่ การเดินทาง	「交通」からご参加ください
Joined	dynamic renderer	Dabei	เข้าร่วม	参加
Joining	dynamic renderer	Dabei	เข้าร่วม	参加
Joining the train	dynamic renderer	Im Nachtzug dabei	ร่วมเดินทางด้วยรถไฟ	夜行列車で参加
Journey	static page source	Die Reise	การเดินทาง	旅
Journey to Vientiane · one decision, two ways	dynamic renderer	Reise nach Vientiane · eine Entscheidung, zwei Wege	เดินทางสู่เวียงจันทน์ · หนึ่งการตัดสินใจ สองเส้นทาง	ビエンチャンへの旅・ひとつの選択、ふたつの道
kept simple.	static page source	einfach gehalten.	เรียบง่าย	シンプルに。
Kettle & kitchenette	static page source	Wasserkocher & Küchenzeile	กาต้มน้ำและครัวขนาดเล็ก	ケトル＆簡易キッチン
King or twin	static page source	King oder Twin	คิงหรือทวิน	キングまたはツイン
Lactose free	dynamic renderer	Laktosefrei	ปลอดแล็กโทส	乳糖不使用
Lao Traditional Dress	static page source	Traditionelle laotische Kleidung	ชุดไทย-ลาวประเพณี	ラオスの伝統衣装
Laos is not the backdrop. It is the heart of it. Alms given at dawn, riverside temples, and the warmth of Lao hospitality.	dynamic renderer	Laos ist keine Kulisse. Es ist das Herz von allem. Almosen im Morgengrauen, Tempel am Fluss und die Wärme laotischer Gastfreundschaft.	ลาวไม่ใช่ฉากหลัง แต่คือหัวใจของทุกสิ่ง การตักบาตรยามรุ่งสาง วัดริมแม่น้ำ และไมตรีอันอบอุ่นของชาวลาว	ラオスは背景ではなく、この物語の心そのもの。夜明けの托鉢、川辺の寺院、ラオスのあたたかなもてなし。
Large balcony	static page source	Großer Balkon	ระเบียงกว้าง	広いバルコニー
LCR Railway Station	dynamic renderer	LCR-Bahnhof	สถานีรถไฟ LCR	LCR鉄道駅
LCR Station to Hotel by Jaguar	dynamic renderer	LCR-Bahnhof zum Hotel im Jaguar	จากสถานี LCR สู่โรงแรมด้วยรถจากัวร์	ジャガーでLCR駅からホテルへ
LCR Station to Hotel by Mercedes-Benz	dynamic renderer	LCR-Bahnhof zum Hotel im Mercedes-Benz	จากสถานี LCR สู่โรงแรมด้วยเมอร์เซเดส-เบนซ์	メルセデス・ベンツでLCR駅からホテルへ
Lead guest	dynamic renderer	Hauptgast	แขกหลัก	代表ゲスト
Limited availability	static page source	Begrenzt verfügbar	จำนวนจำกัด	数に限りあり
Limited availability · personally coordinated by Guest Relations	static page source	Begrenzt verfügbar · persönlich koordiniert von Guest Relations	จำนวนจำกัด · ฝ่ายดูแลแขกประสานงานเป็นการส่วนตัว	数に限りあり・ゲストリレーションズが直接調整
LINE & WhatsApp QR in your Guest Area	dynamic renderer	LINE- & WhatsApp-QR in eurem Gästebereich	QR ของ LINE และ WhatsApp อยู่ในพื้นที่สำหรับแขก	LINE・WhatsAppのQRはゲストエリアに
